team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
Pakistan,Hasan Ali,Bowler,65.0,38.0,11.0,383.0,59.0,14.18,327.0,117.12,0.0,2.0,4.0,28,24,2016,2023,7.0,1
Pakistan,Shaheen Afridi,Bowler,51.0,28.0,17.0,171.0,23.0,15.54,216.0,79.16,0.0,0.0,3.0,14,6,2018,2023,5.0,0
Pakistan,Mohammad Wasim,Bowling Allrounder,18.0,8.0,1.0,64.0,17.0,9.14,68.0,94.11,0.0,0.0,1.0,3,4,2022,2023,1.0,0
South Africa,Temba Bavuma,Middle order Batter,34.0,33.0,4.0,1454.0,144.0,50.13,1619.0,89.8,5.0,4.0,1.0,138,22,2016,2023,7.0,1
South Africa,Quinton de Kock,Wicketkeeper Batter,151.0,151.0,7.0,6607.0,178.0,45.88,6818.0,96.9,20.0,30.0,4.0,758,112,2013,2023,10.0,3
South Africa,Reeza Hendricks,Opening Batter,31.0,31.0,2.0,858.0,102.0,29.58,1067.0,80.41,1.0,6.0,1.0,88,9,2018,2023,5.0,1
South Africa,Marco Jansen,Bowling Allrounder,20.0,17.0,5.0,408.0,75.0,34.0,342.0,118.82979999999999,0.0,1.0,0.0,31,20,2022,2023,1.0,1
South Africa,Heinrich Klaasen,Wicketkeeper Batter,47.0,44.0,6.0,1623.0,174.0,42.71,1386.0,117.09,4.0,6.0,2.0,141,57,2018,2023,5.0,1
South Africa,Andile Phehlukwayo,Bowling Allrounder,76.0,49.0,17.0,781.0,69.0,24.4,887.0,88.04,0.0,2.0,4.0,69,31,2016,2023,7.0,1
South Africa,Keshav Maharaj,Bowler,37.0,19.0,5.0,209.0,40.0,14.92,235.0,88.93,0.0,0.0,1.0,27,2,2017,2023,6.0,0
South Africa,Aiden Markram,Opening Batter,61.0,58.0,5.0,2021.0,175.0,38.13,2035.0,99.31,3.0,10.0,4.0,208,47,2017,2023,6.0,1
South Africa,David Miller,Middle order Batter,166.0,143.0,43.0,4257.0,139.0,42.57,4098.0,103.87,5.0,23.0,9.0,317,128,2010,2023,13.0,2
South Africa,Lungi Ngidi,Bowler,53.0,21.0,14.0,91.0,19.0,13.0,182.0,50.0,0.0,0.0,3.0,5,5,2018,2023,5.0,0
